Location	J42	WF22	PAM27	PAM79	WF16	WF33	WF3	WF517	WF196	WF223	WF421	A441	PAM21	Psy087	Psy022	WF12	WF32
Jam	109111	243315	160160	174180	236238	268308	174174	251283	171251	0	280288	182184	215215	157161	243243	256260	0
Jam	125143	207275	174176	150166	236236	320324	168178	267267	167219	251261	320332	180186	211217	156161	243243	260264	221221
Jam	125143	207275	0	182194	250264	288324	168174	253317	175191	237279	268292	180186	215217	161163	235311	256260	213221
pop																	
Shin16	117137	183247	174174	154216	244260	288344	168170	251275	167243	261273	292296	184188	211219	156161	235243	260260	251283
Shin16	109111	243251	160178	180208	230238	252364	162168	215253	167187	257261	280292	0	215219	161161	243243	260264	209217
Shin16	111117	215227	174178	182208	234236	300340	172174	247279	187191	257267	296300	182182	211217	161161	235235	260260	215215
Shin16	117131	247255	174182	174182	234250	288324	158168	243271	159223	245257	284288	188200	0	155161	243247	256260	249249
Shin16	117135	183187	174178	202204	236238	284364	158168	245281	191195	259259	284288	194196	217219	155161	243243	256260	215291
Shin16	117117	247251	176182	176178	236250	340344	168168	259285	167187	261289	0	182194	215215	155161	243243	256260	213251
Shin16	141143	179231	176178	144182	234236	300336	166168	241291	191195	255265	284308	180188	217219	161161	243243	256260	217285
Shin16	117139	223227	178182	192194	236250	324360	174174	215247	183191	255257	280280	182182	0	155161	235243	260260	217217
Shin16	131133	207267	166174	182186	230234	300328	174194	261267	187215	257283	288328	180186	215219	155161	235243	256260	217217
Shin16	117117	0	160160	174214	230234	292332	168178	279287	191195	231245	252280	184186	219219	161161	235243	260260	215283
Shin16	117157	259315	160180	182198	236236	252284	168188	261271	191191	0	272304	188188	211215	161163	235243	256260	217217
Shin16	117117	211319	160160	184186	238238	312312	168168	263287	183195	255257	300308	178182	211215	161161	243243	256260	211215
Shin16	143147	191247	160178	154188	238264	308352	168170	247275	183191	263275	300300	182184	217217	161161	0	264264	215217
Shin16	117119	207215	160174	158190	236258	268332	168176	243245	167167	273273	272280	180182	0	161161	243247	260264	215217
Shin16	117117	211259	174176	180190	240256	280320	164176	245295	187187	261285	280296	182186	211217	161161	235243	256260	213213
Shin16	127127	163199	160206	174188	240276	0	158168	265265	183199	257261	280296	186200	219225	156161	243243	256260	215251
Shin16	117139	195195	160174	182212	236236	280344	166170	215275	167243	259267	252280	184192	213219	161161	235235	256260	217217
Shin16	117157	191199	172174	188204	236240	312344	168172	275279	163167	259279	0	182182	217219	161161	243243	260260	217217
Shin16	139157	243303	162174	178214	228240	296320	168176	243287	187195	265293	288296	184200	209211	161161	0	256260	213215
Shin16	127131	247287	160176	162186	236252	312332	168174	271281	159231	253273	296300	180188	215219	156161	0	260264	221291
Shin16	109117	231231	160184	154212	238260	304332	168168	221259	183191	255261	284296	182188	0	161161	235243	256256	215283
Shin16	117117	231255	156176	154184	234258	316324	156174	279287	187215	251275	280292	178184	215217	161161	243243	256260	213215
Shin16	119119	187271	160174	168220	236236	340352	168168	243263	187215	255269	280296	188190	213219	161161	243243	256260	221221
Shin16	117121	211247	0	158158	234240	272336	166178	263299	167187	261267	280296	184188	211215	161161	235235	0	181215
Shin16	117139	243243	174178	156186	236236	300328	158168	261287	159215	255271	284308	184188	211211	161161	235243	260260	221289
Shin16	117123	247251	0	178190	246250	284296	164172	215261	179199	259277	0	184188	215217	156161	243243	260260	215221
Shin16	111111	203251	160166	0	236236	316324	168168	261291	195207	275275	280288	182188	0	161161	235235	256260	215221
Shin16	109111	183223	174174	156156	236236	316332	156166	243299	159251	237261	0	182182	211219	156161	235235	260260	215249
Shin16	119125	247247	160188	164220	234236	252276	168168	0	191211	257275	284300	184188	211215	161163	235243	260264	215217
Shin16	117117	191247	160174	180208	236236	272328	168178	215275	191207	0	272288	182188	211215	161161	243335	256260	291291
Shin16	115115	195227	174174	188190	236238	328340	162168	263263	167195	257269	272280	180188	217219	161163	0	256260	291291
Shin16	121133	0	174182	180208	234236	320340	158162	215251	187195	251273	276288	184194	219219	161161	235243	256260	221253
pop																	
Mt16	127131	239247	166180	170186	236264	312340	168172	267299	167183	257269	284304	182184	215217	156161	243243	256260	0
Mt16	117127	215235	180180	170214	240252	296324	162166	275287	159243	255267	236292	178190	217219	156161	243243	256260	0
Mt16	125143	231247	160206	178214	238260	340364	168172	255283	167183	265275	272320	186196	193217	156161	235235	256260	181283
Mt16	117137	171267	174174	154180	240264	344344	168198	273283	167251	255293	236288	182184	217217	156161	0	260264	249251
Mt16	115119	227239	174176	168180	236238	272284	168168	0	183187	263277	300316	182186	0	156161	243243	260260	283285
Mt16	117131	251271	160174	144198	236238	304316	158168	261291	199199	261281	0	194196	215215	161161	227243	260260	207215
Mt16	117121	231243	166174	182216	236250	288300	166168	239281	191191	261265	280292	184190	217221	161161	235243	260260	215291
Mt16	139148	155259	178202	202240	236236	284296	168174	247255	163223	267281	276292	186190	209227	155161	235243	256260	217251
Mt16	109123	211243	160188	178180	236238	268336	168168	279283	191211	263281	236288	182190	211211	155161	235243	260260	211283
Mt16	117125	239247	160174	206222	252254	268316	168168	215243	175191	267271	276288	0	211219	161163	235267	256256	217217
Mt16	117131	179195	174174	148180	250260	276348	168168	247295	171187	0	0	182196	215215	161161	235243	256260	221283
Mt16	117147	235243	160166	182184	234238	320328	158168	265283	183243	267275	0	184194	211219	161161	235243	260260	0
Mt16	117161	235263	174180	178216	236238	340348	170174	291291	187243	259269	292332	182182	213217	161161	243243	256256	217217
Mt16	117121	251315	160164	182208	236238	300324	168168	263299	191211	269277	292296	188188	213217	155161	243243	260268	0
Mt16	119133	207223	174176	180182	238258	264340	168172	271299	167199	267269	280292	188188	213219	161161	235235	260264	217217
Mt16	111125	247295	180182	150188	238238	316328	168176	251281	159223	255263	284316	186188	215225	161163	227235	256264	215215
Mt16	117147	251259	174178	190216	238258	252332	158162	303317	183227	255279	280296	180188	211211	161163	235335	260264	217217
Mt16	115133	179227	160176	188194	238250	300312	162162	261291	179187	261273	272292	186192	211211	157161	235243	256260	217217
Mt16	121125	183223	176178	154208	236238	304348	168174	287291	183203	255275	0	180182	219219	156161	243243	256260	215217
Mt16	117119	251267	178188	172184	234238	316328	168174	235275	187187	259259	288304	178186	213217	161161	243243	260264	211217
Mt16	129137	227239	160180	178182	230236	268328	168176	243247	167203	267285	0	182188	215219	161161	0	260260	213215
Mt16	125139	171259	160174	168190	236240	248320	168172	235275	167191	277289	284292	180190	211217	156161	243243	256260	177217
Mt16	117117	207239	160204	180218	250260	296328	168168	247279	167199	257275	0	180200	217219	156161	235243	256260	215215
Mt16	117125	215235	178178	170216	236238	332340	162174	243303	195195	267281	244296	178184	215217	161165	0	256260	213213
Mt16	109143	159231	174174	182220	0	320360	168168	245287	187195	255269	272276	180182	213219	161161	235243	260264	217221
Mt16	109111	187235	0	188212	234246	320320	168172	215247	167179	263277	288292	184186	213219	156161	243247	256264	215215
Mt16	119121	247263	160178	158220	236238	248308	156166	287287	167187	257279	292296	182190	211225	156161	235243	256260	215215
Mt16	117137	175239	160174	158172	226238	268332	166172	265287	183187	255279	0	180182	211215	156161	243243	256256	213289
Mt16	117137	199243	160208	144180	236250	260272	156170	247255	167167	255269	280296	186190	211219	161161	235243	260260	177251
Mt16	139143	183183	174178	206212	236236	248360	162174	271283	171195	257269	280296	188192	215217	163165	235243	260260	221221
Mt16	111117	191231	160180	156170	236258	0	158168	243283	191199	263269	292312	180188	219219	156161	235243	260264	215215
pop																	
MtMig	111121	183223	174210	148184	224238	268296	156170	245299	159195	259269	280304	184188	211213	156161	243267	260264	249249
MtMig	125125	255259	178182	150168	236260	252320	172178	247283	167171	277281	256288	184188	215217	156161	235243	256260	217251
MtMig	121125	223227	174188	190208	238240	252328	166178	291291	159191	261281	292304	182188	211219	156161	243243	256264	213213
MtMig	111117	211271	160174	156182	238258	312328	164174	261287	163191	259283	280300	188188	211217	156161	235243	256256	221221
MtMig	125135	215243	160182	158192	246266	272344	166168	245271	195207	261317	280292	180186	219219	161161	227235	256260	213221
MtMig	133133	243255	160174	176182	236238	276324	168168	243245	167235	251255	260304	180188	219225	156161	243243	256260	215289
MtMig	121125	187187	174188	176220	230258	272296	170174	279281	187195	261273	284288	180188	217219	161161	235235	260260	179217
MtMig	109117	183195	160180	150150	238238	304332	168168	261291	191195	255257	284288	180182	211217	155161	243243	260260	215249
MtMig	117119	223271	174178	174184	240258	340340	162164	247247	191235	269297	280280	180184	211215	161161	235243	256260	221221
MtMig	129139	195247	176178	148158	236236	280328	168172	247291	183199	261273	276280	180182	217219	156161	243243	260264	217217
MtMig	119125	251267	174188	210220	234236	284292	166168	251263	167191	253285	280296	190196	219229	156161	227235	256264	215291
MtMig	117121	215223	160182	166168	236238	332340	156168	251287	215235	261265	0	182186	217217	161163	227243	260264	215217
MtMig	119135	183255	166174	156210	234238	320328	168172	219263	159183	259263	272296	180182	219219	156161	243243	260260	221221
MtMig	117139	243251	160174	186190	238260	352360	168172	267291	183199	257263	292296	0	211211	156161	235243	260260	215215
MtMig	111111	195251	166178	174192	234240	340352	168168	251295	175199	265281	268296	180188	211215	155161	235243	260260	215217
MtMig	117117	227255	160174	182182	272286	276336	168168	247283	199247	269275	248260	182182	211215	156161	243243	260264	213221
MtMig	125131	231247	174174	180194	238264	316352	168170	245245	0	269277	280288	182190	217217	156161	243243	256260	215221
MtMig	117139	235255	160178	190206	236240	252296	168172	221263	183191	255293	292292	0	211217	161161	235243	256260	215215
MtMig	137143	243247	180184	182210	236260	300332	172174	251263	187251	269283	280308	0	211215	161161	235243	260260	217221
MtMig	115131	159215	160160	182208	234250	280348	168168	287289	191247	267285	260292	182232	217217	155161	235243	256264	249291
MtMig	117119	183207	176178	192192	236238	332360	166178	255283	199199	263285	296312	188200	0	161161	235243	260264	207217
MtMig	117121	219243	174178	158168	236238	268300	168170	269271	159195	285297	268276	178200	0	161161	235243	256260	217221
MtMig	109117	227255	178178	150178	230242	280320	168174	271289	159159	267289	296300	188188	209217	161161	0	256260	207215
MtMig	117135	183195	178178	158170	240254	0	162168	243247	175199	257269	296300	180188	209217	161161	235243	260260	215251
MtMig	111137	211247	174178	172198	238272	272284	168168	247263	159191	259259	288304	188188	211219	161161	0	256260	215249
MtMig	115119	207223	166208	180186	238240	272348	168174	243267	159195	285285	0	182182	219219	161161	235243	256256	215215
MtMig	145147	203263	160174	158180	236286	300320	172178	255271	171195	255257	288296	0	207217	161161	235235	256264	215217
MtMig	117143	207267	176178	148178	236250	272316	168172	247283	167187	255263	280292	178186	213219	161161	235243	256260	213221
MtMig	121121	235239	174180	150206	240260	332360	156166	289301	159183	255269	284320	190196	211211	161161	0	256260	181215
MtMig	111125	203247	164166	186200	238258	272328	168174	275281	159183	259267	0	188196	215215	161163	235243	260260	215215
MtMig	117129	183263	178180	182184	236238	276332	166168	283289	183215	261265	276280	180188	215217	161161	0	256260	215283
MtMig	125135	219259	176182	154188	236236	328340	168168	243247	167211	255275	276284	180190	0	161161	235243	256260	221251
MtMig	117147	207247	166174	186188	238240	288316	168168	219287	183199	245271	280296	182190	211211	156161	0	264264	215217
pop																	
MtRes	109121	219263	178180	178188	236238	276316	166168	281281	159195	255261	292300	182196	211211	161161	235243	260260	221223
MtRes	119119	203219	160174	0	230236	304336	170172	271275	159191	261265	280284	178190	215219	156161	243243	260268	215247
MtRes	111117	223263	166174	214216	238260	280304	0	243243	171199	265281	288292	182190	211211	161161	235243	256264	215221
MtRes	109135	239267	160174	182184	230238	280344	170178	245277	167195	261269	260284	188190	213215	156161	243243	0	215221
MtRes	117129	191211	174176	182220	228236	320360	168186	247299	199243	0	288292	0	219221	161163	235315	260264	217249
MtRes	135139	215247	160162	158220	0	280284	164174	221263	159167	269271	280320	178182	211215	157161	227235	256260	215251
MtRes	133139	183251	174178	0	236240	284316	168168	261283	187195	255277	280288	0	215217	156161	243267	260264	215285
MtRes	119143	175191	174176	182190	234260	264360	162178	243287	171195	0	288296	186226	211211	156161	235235	256256	283283
MtRes	111125	179215	188192	192210	244286	272364	164176	251299	183187	0	280284	182226	211219	0	243243	260260	181217
MtRes	111117	223231	174182	130180	236240	300352	0	243271	171199	265281	0	0	213217	161161	243335	256264	213221
MtRes	111125	219223	174178	142148	236238	252280	170176	275283	159195	257265	292324	180182	211219	161161	243243	256260	215215
MtRes	127137	183251	160188	180180	236260	320320	166168	247279	171199	257257	284292	180188	0	161161	235243	256260	0
